serial,num_adult,num_child,num_room,microwav,dishwash,dhhtype
11010903,2,0,8,TRUE,TRUE,3
11010904,2,0,6,FALSE,TRUE,3
11010906,3,0,4,TRUE,FALSE,7
11010907,2,1,3,TRUE,FALSE,2
11010908,1,0,6,TRUE,TRUE,1
11010911,2,0,2,FALSE,FALSE,3
11010912,1,1,5,TRUE,TRUE,4
11010917,2,0,3,TRUE,FALSE,3
11010918,2,1,4,TRUE,FALSE,NA
11010919,2,0,5,TRUE,TRUE,3
11010920,1,0,2,TRUE,FALSE,1
11011202,3,1,7,TRUE,TRUE,6
11011203,2,0,7,TRUE,TRUE,3
11011207,2,0,5,TRUE,TRUE,3
11011209,2,0,3,TRUE,FALSE,3
11011210,2,2,5,TRUE,TRUE,NA
11011211,2,0,6,TRUE,TRUE,3
11011212,2,2,6,TRUE,TRUE,2
11011213,2,2,3,TRUE,FALSE,2
11011217,1,0,4,TRUE,TRUE,1
11011219,1,0,4,TRUE,FALSE,1
11011220,3,0,9,TRUE,TRUE,7
11020202,2,0,6,TRUE,TRUE,3
11020205,1,0,6,TRUE,TRUE,1
11020206,3,1,6,FALSE,TRUE,6
11020207,1,0,6,TRUE,FALSE,1
11020208,2,2,5,TRUE,TRUE,2
11020211,1,0,5,TRUE,FALSE,1
11020212,2,2,6,TRUE,FALSE,2
11020218,1,0,6,TRUE,FALSE,1
11020301,3,0,7,TRUE,TRUE,7
11020305,1,0,2,TRUE,FALSE,1
11020307,1,0,6,TRUE,FALSE,1
11020310,2,0,4,TRUE,TRUE,3
11020312,2,0,9,TRUE,TRUE,3
11020315,2,2,4,TRUE,FALSE,2
11020316,2,2,5,TRUE,FALSE,2
11020320,2,2,5,TRUE,TRUE,2
11020603,1,0,3,TRUE,FALSE,1
11020605,1,0,5,TRUE,FALSE,1
11020606,1,1,2,TRUE,FALSE,4
11020609,2,0,6,TRUE,TRUE,3
11020611,2,0,4,TRUE,TRUE,3
11020613,2,2,4,TRUE,FALSE,2
11020617,2,0,8,TRUE,TRUE,3
11031105,2,0,7,TRUE,TRUE,3
11031107,2,0,4,TRUE,TRUE,3
11031108,1,0,5,FALSE,TRUE,1
11031109,1,0,4,TRUE,FALSE,1
11031111,2,2,3,TRUE,TRUE,2
11031116,2,1,4,TRUE,TRUE,2
11031117,2,0,6,TRUE,TRUE,3
11031119,2,0,5,TRUE,TRUE,3
11031120,2,1,4,TRUE,FALSE,NA
11040801,2,2,4,TRUE,FALSE,2
11040802,2,0,3,TRUE,FALSE,5
11040810,2,0,3,TRUE,FALSE,3
11040814,2,2,2,FALSE,FALSE,2
11040815,3,0,7,TRUE,TRUE,7
11050103,2,0,5,TRUE,TRUE,3
11050104,2,0,4,TRUE,TRUE,3
11050109,2,0,7,TRUE,TRUE,3
11050111,2,3,4,TRUE,FALSE,2
11050113,2,0,5,TRUE,FALSE,3
11050115,3,0,5,TRUE,FALSE,7
11050117,1,0,3,TRUE,FALSE,1
11050501,1,1,3,TRUE,FALSE,4
11050506,3,0,7,TRUE,TRUE,7
11050508,2,0,7,TRUE,TRUE,3
11050510,2,0,3,TRUE,FALSE,3
11050511,4,1,9,TRUE,TRUE,6
11050518,1,0,2,TRUE,FALSE,1
11050519,2,0,6,TRUE,TRUE,3
11050520,2,2,7,TRUE,TRUE,2
11051001,2,1,6,TRUE,TRUE,2
11051002,4,1,6,TRUE,FALSE,6
11051003,2,0,3,TRUE,FALSE,NA
11051004,2,2,5,TRUE,TRUE,2
11051006,4,0,8,TRUE,TRUE,6
11051007,1,0,5,TRUE,TRUE,1
11051011,2,0,7,TRUE,FALSE,3
11051017,5,0,3,TRUE,TRUE,6
11051018,2,1,7,TRUE,TRUE,2
11051020,2,0,4,TRUE,TRUE,3
11061001,4,1,8,TRUE,TRUE,6
11061004,4,0,4,TRUE,TRUE,6
11061006,2,0,4,TRUE,TRUE,3
11061009,1,0,2,TRUE,FALSE,1
11061012,4,0,8,TRUE,TRUE,6
11061014,2,0,8,TRUE,TRUE,3
11061015,1,0,5,TRUE,TRUE,1
11061016,2,2,5,TRUE,TRUE,2
