serial,pnum,sex,age,deconact
11010903,1,1,80,7
11010903,2,2,71,7
11010904,1,2,55,2
11010904,2,1,62,1
11010906,1,2,52,2
11010906,2,1,48,1
11010906,3,2,18,-1
11010907,1,1,36,1
11010907,2,2,37,9
11010907,3,2,1,13
11010908,1,1,67,7
11010911,1,1,21,11
11010911,2,2,21,8
11010912,1,1,49,9
11010912,2,1,14,13
11010917,1,2,42,2
11010917,2,1,45,1
11010918,1,2,42,10
11010918,2,2,18,6
11010918,3,2,9,13
11010919,1,2,70,7
11010919,2,1,69,7
11010920,1,1,76,7
11011202,1,2,48,1
11011202,2,1,50,-1
11011202,3,1,16,-1
11011202,4,1,13,13
11011203,1,1,75,7
11011203,2,2,75,-1
11011207,1,2,68,7
11011207,2,1,74,7
11011209,1,1,69,2
11011209,2,2,60,1
11011210,1,2,29,9
11011210,2,1,36,3
11011210,3,2,3,13
11011210,4,2,1,13
11011211,1,2,69,7
11011211,2,1,70,7
11011212,1,2,41,3
11011212,2,1,44,1
11011212,3,1,14,13
11011212,4,1,12,13
11011213,1,2,42,3
11011213,2,1,5,13
11011213,3,1,10,13
11011213,4,1,40,1
11011217,1,1,79,7
11011219,1,2,61,10
11011220,1,2,52,3
11011220,2,1,54,1
11011220,3,2,23,1
11020202,1,1,71,7
11020202,2,2,70,7
11020205,1,2,51,1
11020206,1,2,45,3
11020206,2,1,60,3
11020206,3,1,16,8
11020206,4,2,12,13
11020207,1,1,86,3
11020208,1,2,49,9
11020208,2,1,47,1
11020208,3,1,15,13
11020208,4,1,4,13
11020211,1,2,54,7
11020212,1,2,49,3
11020212,2,1,50,1
11020212,3,1,9,13
11020212,4,1,7,13
11020218,1,2,89,7
11020301,1,1,53,1
11020301,2,2,48,2
11020301,3,2,20,1
11020305,1,1,27,1
11020307,1,2,80,7
11020310,1,1,65,3
11020310,2,2,63,9
11020312,1,1,65,7
11020312,2,2,68,9
11020315,1,1,43,1
11020315,2,2,40,1
11020315,3,1,12,13
11020315,4,1,7,13
11020316,1,1,41,1
11020316,2,2,35,1
11020316,3,2,8,13
11020316,4,1,3,13
11020320,1,1,36,1
11020320,2,2,36,2
11020320,3,1,6,13
11020320,4,1,4,13
11020603,1,1,75,2
11020605,1,2,80,7
11020606,1,2,34,1
11020606,2,2,3,13
11020609,1,1,61,7
11020609,2,2,62,7
11020611,1,2,44,1
11020611,2,1,48,1
11020613,1,1,44,3
11020613,2,2,42,6
11020613,3,2,11,13
11020613,4,2,11,13
11020617,1,2,62,9
11020617,2,1,59,1
11031105,1,1,74,7
11031105,2,2,69,7
11031107,1,1,32,1
11031107,2,2,32,2
11031108,1,2,37,1
11031109,1,2,68,1
11031111,1,1,49,10
11031111,2,2,47,2
11031111,3,1,14,13
11031111,4,1,11,13
11031116,1,1,42,1
11031116,2,2,36,2
11031116,3,2,4,13
11031117,1,1,85,7
11031117,2,2,77,2
11031119,1,1,32,1
11031119,2,2,29,1
11031120,1,2,43,2
11031120,2,2,17,6
11031120,3,1,15,13
11040801,1,1,38,1
11040801,2,2,42,9
11040801,3,2,7,13
11040801,4,1,3,13
11040802,1,2,48,10
11040802,2,1,17,6
11040810,1,1,52,6
11040810,2,2,56,6
11040814,1,1,52,1
11040814,2,2,50,3
11040814,3,1,14,13
11040814,4,2,11,13
11040815,1,2,54,1
11040815,2,1,59,1
11040815,3,2,17,8
11050103,1,1,71,7
11050103,2,2,75,7
11050104,1,2,67,7
11050104,2,1,71,7
11050109,1,1,59,1
11050109,2,2,56,1
11050111,1,1,35,1
11050111,2,2,39,2
11050111,3,1,9,13
11050111,4,2,7,13
11050111,5,1,11,13
11050113,1,2,59,1
11050113,2,1,51,1
11050115,1,2,66,7
11050115,2,1,70,7
11050115,3,1,44,1
11050117,1,2,84,7
11050501,1,2,19,9
11050501,2,2,2,13
11050506,1,2,57,6
11050506,2,1,43,1
11050506,3,1,28,1
11050508,1,2,60,2
11050508,2,1,63,1
11050510,1,2,26,1
11050510,2,1,34,1
11050511,1,2,55,2
11050511,2,1,51,1
11050511,3,1,22,3
11050511,4,1,20,-1
11050511,5,1,12,13
11050518,1,1,63,1
11050519,1,2,61,3
11050519,2,1,61,3
11050520,1,2,39,2
11050520,2,1,39,1
11050520,3,1,7,13
11050520,4,2,5,13
11051001,1,1,38,1
11051001,2,2,35,1
11051001,3,2,0,13
11051002,1,2,38,1
11051002,2,1,34,1
11051002,3,2,19,1
11051002,4,1,16,8
11051002,5,1,9,13
11051003,1,2,33,1
11051003,2,1,16,8
11051004,1,1,36,1
11051004,2,2,36,1
11051004,3,1,5,13
11051004,4,2,2,13
11051006,1,2,56,7
11051006,2,1,24,3
11051006,3,1,54,7
11051006,4,2,18,-1
11051007,1,2,26,1
11051011,1,2,61,2
11051011,2,1,63,3
11051017,1,1,49,3
11051017,2,2,52,1
11051017,3,2,63,-1
11051017,4,1,65,-1
11051017,5,1,25,11
11051018,1,1,44,1
11051018,2,2,44,1
11051018,3,1,9,13
11051020,1,1,28,3
11051020,2,2,27,1
11061001,1,2,44,2
11061001,2,1,54,1
11061001,3,2,18,8
11061001,4,1,16,8
11061001,5,2,14,13
11061004,1,1,51,1
11061004,2,2,46,1
11061004,3,1,17,-1
11061004,4,1,17,2
11061006,1,2,69,7
11061006,2,1,73,7
11061009,1,2,62,1
11061012,1,1,55,3
11061012,2,2,55,1
11061012,3,1,28,1
11061012,4,2,31,-1
11061014,1,1,52,1
11061014,2,2,54,1
11061015,1,1,81,7
11061016,1,2,48,3
11061016,2,1,55,11
11061016,3,2,13,13
11061016,4,2,15,13
11061017,1,2,64,3
11061019,1,1,70,7
11061019,2,2,67,2
11061020,1,2,26,1
11070402,1,1,75,7
11070405,1,2,30,2
11070405,2,1,7,13
11070406,1,1,61,10
11070406,2,2,62,9
11070407,1,2,72,7
11070407,2,1,73,7
11070409,1,2,66,7
11070409,2,1,68,7
11070410,1,1,84,7
11070410,2,2,68,7
11070411,1,1,51,7
11070411,2,2,49,7
11070411,3,2,20,6
11070413,1,2,25,6
11070413,2,1,26,1
11070413,3,1,3,13
11070413,4,1,1,13
11070415,1,2,34,2
11070415,2,1,32,3
11070415,3,1,4,13
11070415,4,2,1,13
11070417,1,1,64,7
11070417,2,2,64,7
11070418,1,1,79,7
11070418,2,2,77,7
11070419,1,1,42,3
11070419,2,2,42,3
11070419,3,1,16,8
11070419,4,2,15,13
11070419,5,1,13,13
11070420,1,2,46,2
11070420,2,1,45,-1
11070420,3,1,21,-1
11070420,4,2,20,-1
11070702,1,2,50,1
11070702,2,1,52,1
11070702,3,2,18,6
11070703,1,1,46,1
11070703,2,2,46,2
11070703,3,1,20,8
11070703,4,2,17,2
11070706,1,2,49,2
11070706,2,1,11,13
11070708,1,1,67,7
11070708,2,2,59,7
11070708,3,2,23,2
11070709,1,2,73,7
11070709,2,1,91,7
11070711,1,2,61,1
11070711,2,1,62,3
11070713,1,2,52,3
11070713,2,1,51,3
11070714,1,2,31,1
11070714,2,1,34,1
11070715,1,2,66,2
11070715,2,1,62,1
11070716,1,1,60,7
11070716,2,2,56,7
11070717,1,2,50,1
11070719,1,1,78,7
11070719,2,2,68,7
11080604,1,2,60,7
11080608,1,2,75,7
11080616,1,2,41,3
11080620,1,2,47,2
11080620,2,1,39,1
11080620,3,2,21,8
11080620,4,2,12,13
11080620,5,2,10,13
11080902,1,2,31,9
11080902,2,1,38,1
11080902,3,2,2,13
11080902,4,2,0,13
11080903,1,2,67,7
11080906,1,2,58,3
11080906,2,1,58,3
11080908,1,2,88,7
11080908,2,1,64,3
11080910,1,2,63,3
11080911,1,2,55,1
11080911,2,1,57,3
11080912,1,1,63,3
11080914,1,1,59,2
11080914,2,2,59,1
11080915,1,2,66,NA
11080920,1,2,51,3
11080920,2,1,47,3
11081203,1,2,62,7
11081204,1,2,28,1
11081204,2,1,28,1
11081207,1,1,61,-1
11081207,2,2,58,7
11081207,3,2,78,-1
11081207,4,2,46,-1
11081207,5,1,31,-1
11081208,1,1,42,3
11081208,2,2,29,9
11081208,3,2,8,13
11081208,4,2,5,13
11081208,5,2,1,13
11081209,1,1,57,3
11081209,2,2,61,-1
11081211,1,2,42,3
11081211,2,1,55,3
11081211,3,2,10,13
11081211,4,1,12,13
11081214,1,2,71,2
11081214,2,1,70,-1
11081219,1,2,55,10
11081219,2,1,61,10
11090201,1,1,49,3
11090201,2,2,45,3
11090201,3,1,4,13
11090203,1,1,66,7
11090203,2,2,64,7
11090204,1,2,28,1
11090204,2,1,34,1
11090205,1,2,67,7
11090206,1,2,42,2
11090206,2,1,37,1
11090206,3,1,21,1
11090206,4,1,19,-1
11090206,5,1,5,13
11090207,1,2,39,8
11090207,2,1,39,1
11090207,3,1,10,13
11090207,4,2,8,13
11090207,5,1,7,13
11090209,1,2,60,1
11090209,2,1,63,1
11090209,3,2,25,1
11090210,1,2,47,1
11090210,2,1,49,3
11090210,3,1,10,13
11090210,4,1,8,13
11090213,1,1,72,7
11090213,2,2,68,7
11090214,1,1,64,7
11090220,1,1,38,1
11090220,2,2,38,3
11090220,3,1,10,13
11090220,4,1,8,13
11090220,5,2,1,13
11090307,1,1,71,7
11090307,2,1,22,1
11090312,1,1,74,7
11090318,1,2,47,3
11090318,2,1,48,-1
11090318,3,2,9,13
11090602,1,2,63,7
11090604,1,1,75,7
11090605,1,2,66,3
11090606,1,2,45,1
11090606,2,2,15,13
11090607,1,2,73,7
11090607,2,1,78,7
11090608,1,1,27,2
11090608,2,1,20,2
11090610,1,2,74,7
11090610,2,1,62,9
11090612,1,2,71,7
11090612,2,1,79,7
11090613,1,2,64,7
11090616,1,2,53,1
11090616,2,1,55,3
11090617,1,2,68,7
11090618,1,2,41,2
11090618,2,1,54,3
11090618,3,2,15,13
11090619,1,2,71,7
11090620,1,2,75,2
11090620,2,1,71,2
11101101,1,2,84,7
11101102,1,1,62,7
11101105,1,1,80,7
11101105,2,2,80,7
11101111,1,1,50,2
11101111,2,2,49,1
11101112,1,2,75,7
11101115,1,2,69,7
11101116,1,2,19,6
11101116,2,2,45,-1
11101117,1,1,59,1
11101117,2,2,51,1
11101117,3,1,23,-1
11101117,4,2,19,-1
11101120,1,2,42,2
11101120,2,1,12,13
11101120,3,2,9,13
11101120,4,2,7,13
11110801,1,1,58,2
11110801,2,2,49,-1
11110801,3,1,13,13
11110801,4,1,8,13
11110802,1,2,81,7
11110804,1,2,76,7
11110804,2,1,75,7
11110807,1,1,68,7
11110807,2,2,65,7
11110808,1,2,77,7
11110809,1,2,67,7
11110810,1,2,53,11
11110815,1,1,26,1
11110815,2,2,22,9
11110815,3,2,0,13
11110815,4,2,1,13
11110816,1,2,40,2
