serial,pnum,t_start,eptime,whatdoing_exact,WhereWhen,whatdoing
11011202,1,2014-12-11T03:00:00Z,110,110,11,0
11011202,1,2014-12-11T04:50:00Z,10,8219,11,8
11011202,1,2014-12-11T05:00:00Z,10,310,11,0
11011202,1,2014-12-11T05:10:00Z,10,3210,11,3
11011202,1,2014-12-11T05:20:00Z,10,3110,11,3
11011202,1,2014-12-11T05:30:00Z,10,7241,11,7
11011202,1,2014-12-11T05:40:00Z,10,210,11,0
11011202,1,2014-12-11T05:50:00Z,10,3819,11,3
11011202,1,2014-12-11T06:00:00Z,30,210,11,0
11011202,1,2014-12-11T06:30:00Z,10,3310,11,3
11011202,1,2014-12-11T06:40:00Z,10,3210,11,3
11011202,1,2014-12-11T06:50:00Z,30,3210,11,3
11011202,1,2014-12-11T07:20:00Z,10,3110,11,3
11011202,1,2014-12-11T07:30:00Z,30,3110,11,3
11011202,1,2014-12-11T08:00:00Z,10,7259,11,7
11011202,1,2014-12-11T08:10:00Z,10,5140,11,5
11011202,1,2014-12-11T08:20:00Z,40,5140,11,5
11011202,1,2014-12-11T09:00:00Z,10,7259,11,7
11011202,1,2014-12-11T09:10:00Z,50,7259,11,7
11011202,1,2014-12-11T10:00:00Z,10,3110,11,3
11011202,1,2014-12-11T10:10:00Z,10,5140,11,5
11011202,1,2014-12-11T10:20:00Z,10,5140,11,5
11011202,1,2014-12-11T10:30:00Z,10,8120,11,8
11011202,1,2014-12-11T10:40:00Z,80,8120,11,8
11011202,1,2014-12-11T12:00:00Z,10,210,11,0
11011202,1,2014-12-11T12:10:00Z,50,210,11,0
11011202,1,2014-12-11T13:00:00Z,60,9360,34,9
11011202,1,2014-12-11T14:00:00Z,60,3610,19,3
11011202,1,2014-12-11T15:00:00Z,10,3240,11,3
11011202,1,2014-12-11T15:10:00Z,10,3240,11,3
11011202,1,2014-12-11T15:20:00Z,20,3110,11,3
11011202,1,2014-12-11T15:40:00Z,20,3110,11,3
11011202,1,2014-12-11T16:00:00Z,50,7220,11,7
11011202,1,2014-12-11T16:50:00Z,10,7220,11,7
11011202,1,2014-12-11T17:00:00Z,10,210,11,0
11011202,1,2014-12-11T17:10:00Z,40,210,11,0
